,ISIN,NAME
388,AU000000VML1,Vital Metals
389,AU000000VRC9,Volt Resources
390,AU000000WAF6,West African Resources
391,AU000000WBC1,Westpac Banking
392,AU000000WBT5,Weebit Nano
393,AU000000WEB7,Webjet
394,AU000000WEC5,White Energy Company
395,AU000000WES1,Wesfarmers
396,AU000000WGN7,Wagners Holding
397,AU000000WGX6,Westgold Resources
398,AU000000WHC8,Whitehaven Coal
399,AU000000WOR2,Worley
400,AU000000WOW2,Woolworths
401,AU000000WTC3,WiseTech Glob
402,AU000000YAL0,Yancoal Australia
403,AU000000ZNC9,Zenith Minerals
404,AU0000010464,Wide Open Agriculture
405,AU0000012098,Element 25
406,AU0000015588,Kleos Space
407,AU0000018236,Nickel Industries
408,AU0000021461,Galan Lithium
409,AU0000026122,Coronado Global Resources
410,AU0000028367,HeraMED
411,AU0000028763,Peak Minerals
412,AU0000030645,Charter Hall Social Infrastructure REIT
413,AU0000030678,Coles Group
414,AU0000031411,Gibb River Diamonds
415,AU0000032187,A2B Australia
416,AU0000033359,Healius
417,AU0000035701,Theta Gold Mines
418,AU0000036949,African Gold
419,AU0000038085,Cann Global
420,AU0000040784,Ora Gold
421,AU0000043945,Alterity Therapeutics
422,AU0000047441,Avecho Biotechnology
423,AU0000049033,AIC Mines HANDELSUNIVERSUM
424,AU0000050981,Sezzle
425,AU0000053522,Vanadium Resources
426,AU0000054587,Mandrake Resources
427,AU0000061897,Perenti Global
428,AU0000062440,Macarthur Minerals
429,AU0000064966,Virgin Money
430,AU0000065070,Macarthur Minerals
431,AU0000066086,Vulcan Energy Resources
432,AU0000066169,Australian Silica Quartz
433,AU0000067092,Great Northern Minerals Ltd. Registered Shares o.N.
434,AU0000067654,Nitro Software
435,AU0000067936,Resolution Minerals
436,AU0000068579,Rarex
437,AU0000070328,PROMINENCE ENERGY
438,AU0000071482,EcoGraf
439,AU0000072019,Paterson Resources
440,AU0000074221,TALI Digital
441,AU0000082489,Omni Bridgeway
442,AU0000088064,Waypoint REIT
443,AU0000088338,Ampol
444,AU0000096943,Essential Metals
445,AU0000102154,Marvel Gold
446,AU0000104374,NewPeak Metals
447,AU0000109910,Cyclone Metals
448,AU0000114522,Firefinch
449,AU0000114977,Booktopia Group
450,AU0000115172,Antilles Gold
451,AU0000117285,Spacetalk
452,AU0000121337,Humm Group
453,AU0000122251,Queensland Pacific Metals
454,AU0000128787,Aston Minerals
455,AU0000134694,Firebird Metals
456,AU0000137598,Epsilon Healthcare
457,AU0000139990,Graphene Manufacturing
458,AU0000141533,Qmines
459,AU0000142945,Tennant Minerals
460,AU0000143729,Sunrise Energy Metals
461,AU0000145815,Arcadia Minerals
462,AU0000146961,OAKRIDGE INTERNATIONAL HANDELSUNIVERSUM
463,AU0000151680,South Harz Potash
464,AU0000153256,Askari Metals
465,AU0000153280,Clean TeQ Water
466,AU0000154833,Endeavour Group
467,AU0000155335,Critical Resources
468,AU0000156416,Elevate Uranium
469,AU0000158578,Industrial Minerals
470,AU0000166613,Greenwing Resources
471,AU0000179640,Arizona Lithium
472,AU0000180200,Evolution Energy Minerals
473,AU0000182263,Nimy Resources
474,AU0000182628,Winsome Resources
475,AU0000182784,AROVELLA THERAPEUTICS
476,AU0000183253,Larvotto Resources
477,AU0000184202,Dominion Minerals
478,AU0000187247,Haranga Resources
479,AU0000187353,Block (CDI)
480,AU0000187569,Falcon Metals
481,AU0000193666,Allkem
482,AU0000195380,Alma Metals
483,AU0000196206,EV Resources
484,AU0000196891,CuFe
485,AU0000198939,GreenX Metals
486,AU0000199929,Morella Corporation
487,AU0000200198,Income Asset Management Group
488,AU0000201006,Hygrovest
489,AU0000210957,International Graphite
490,AU0000218307,Zip Co
491,AU0000221251,Leo Lithium
492,AU0000221418,Ten Sixty Four
493,AU0000222002,Provaris Energy
494,AU0000223505,Lanthanein Resources
495,AU0000224040,Woodside Energy Group
496,AU0000237554,Atlantic Lithium
497,AU0000240764,Moab Minerals
498,AU0000250250,Energy Transition Minerals
499,AU0000253502,Region Group
500,AU0000256646,Unith
501,BE0003215143,Floridienne HANDELSUNIVERSUM
502,BE0003463685,Cumulex
503,BE0003470755,Solvay
504,BE0003545531,Solvac SA
505,BE0003555639,Tessenderlo Group
506,BE0003565737,KBC Group
507,BE0003573814,Ter Beke NV
508,BE0003592038,Compagnie du Bois Sauvage SA
509,BE0003593044,Cofinimmo
510,BE0003599108,Immobel SA
511,BE0003602134,Moury Construct
512,BE0003604155,Lotus Bakeries
513,BE0003656676,Recticel
514,BE0003696102,Accentis SA
515,BE0003717312,Sofina
516,BE0003720340,Retail Estates
517,BE0003723377,Beluga
518,BE0003724383,Wereldhave Belgium
519,BE0003730448,Quest for Growth
520,BE0003731453,Miko
521,BE0003734481,Warehouses Estates Belgium SCA
522,BE0003735496,Orange Belgium
523,BE0003739530,UCB
524,BE0003741551,Roularta Media Group NV
525,BE0003748622,IEP Invest NV
526,BE0003755692,Agfa-Gevaert
527,BE0003764785,Ackermans & van Haaren
528,BE0003765790,Greenyard
529,BE0003766806,Ion Beam
530,BE0003770840,Nextensa
531,BE0003773877,Softimat
532,BE0003797140,Groupe Bruxelles Lambert
533,BE0003798155,Spadel
534,BE0003807246,Picanol NV
535,BE0003808251,EXMAR NV
536,BE0003810273,Proximus
537,BE0003816338,Euronav
538,BE0003818359,Galapagos
539,BE0003820371,EVS Broadcast
540,BE0003825420,Campine HANDELSUNIVERSUM
541,BE0003826436,Telenet Group
542,BE0003837540,ATENOR SA
543,BE0003839561,Van de Velde NV
544,BE0003846632,Oxurion
545,BE0003847648,Flowsparks
546,BE0003851681,Aedifica
547,BE0003853703,Montea
548,BE0003858751,Jensen-Group NV
549,BE0003867844,KBC Ancora
